"Tourist_Locations","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Total_Overnight_Visitors","Estimated_Day_Visitors","Total Visitors+ Day Visitors","","","","","","","",""
"Bangalore","2556416","42118","2598534","0","2598534","","","","","","","",""
"Palace","0","0","0","220104","220104","","","","","","","",""
"Lalbagh","0","0","0","350618","350618","","","","","","","",""
"Tipu Sultan's Palace","0","0","0","279873","279873","","","","","","","",""
"Planetarium","0","0","0","251195","251195","","","","","","","",""
"Nandi Hills","0","0","0","237030","237030","","","","","","","",""
"Banerghatta National Park","0","0","0","157993","157993","","","","","","","",""
"Sawandurga","0","0","0","17542","17542","","","","","","","",""
"Shivaganga","0","0","0","51153","51153","","","","","","","",""
"Kolar","32840","68","32908","164754","197662","","","","","","","",""
"Tumkur","92362","112","92474","176642","269116","","","","","","","",""
"Siddrabatta","0","0","0","20398","20398","","","","","","","",""
"Yediure","0","0","0","25580","25580","","","","","","","",""
"GorVanahali","0","0","0","73708","73708","","","","","","","",""
"Mysore","1400367","43783","1444150","0","1444150","","","","","","","",""
"Zoo","0","0","0","325177","325177","","","","","","","",""
"Palace","0","0","0","271910","271910","","","","","","","",""
"Chamundi Hills","0","0","0","288431","288431","","","","","","","",""
"Vrindavan Gardens","0","0","0","334438","334438","","","","","","","",""
"Shrirangapatnam","0","0","0","362861","362861","","","","","","","",""
"Shivanasamudram","0","0","0","387602","387602","","","","","","","",""
"Shravanbelagola","4002","5","4007","","35261","","","","","","","",""
"Mandya","50517","161","50678","216946","266154","","","","","","","",""
"Belgaum","137152","126","137278","225426","363044","","","","","","","",""
"Karwar","87694","768","88462","219594","314521","","","","","","","",""
"Dharwad","100924","154","101078","219899","323362","","","","","","","",""
"Hubli","297374","992","298366","246464","505856","","","","","","","",""
"Davanager","35858","0","35858","29226","95209","","","","","","","",""
"Murudeshwar","0","0","0","366933","375782","","","","","","","",""
"Gokarna","29951","152","30103","245315","253698","","","","","","","",""
"Mangalore","352309","1381","353690","146028","491438","","","","","","","",""
"Udupi","229688","1532","231220","148126","372530","","","","","","","",""
"Kolur","12203","7","12210","127021","137073","","","","","","","",""
"Shimoga","174473","711","175184","36205","211389","","","","","","","",""
"Hassan","125381","1307","126688","1231842","1358530","","","","","","","",""
"Chikamagalur","72795","200","72995","","105149","","","","","","","",""
"National Park","0","0","0","234927","236038","","","","","","","",""
"Bhadra Wildlife Sanctuary","0","0","0","260712","255341","","","","","","","",""
"Shringeri","0","0","0","217751","215272","","","","","","","",""
"Jog Falls","0","0","0","340965","317334","","","","","","","",""
"Horanado","0","0","0","12095","11975","","","","","","","",""
"Kukusubranjini","1332","2038","3370","15664","38828","","","","","","","",""
"Hampi","29893","12055","41948","228393","275295","","","","","","","",""
"Hospet","117640","3638","121278","221300","336291","","","","","","","",""
"Lakundi","8155","0","8155","174213","182117","","","","","","","",""
"Raichur","84540","93","84633","195970","280874","","","","","","","",""
"Chitradurga","104792","3430","108222","202352","312565","","","","","","","",""
"Gulbarga","175658","693","176351","195230","350286","","","","","","","",""
"Ganigapura","7174","23","7197","5747","31077","","","","","","","",""
"Bidar","67368","210","67578","182919","232507","","","","","","","",""
"Basvakalyan","12609","202","12811","110791","149159","","","","","","","",""
"Bijapur","177928","2574","180502","266295","445668","","","","","","","",""
"Bagalkot","63250","213","63463","217550","287755","","","","","","","",""
"Madikeri","133434","2445","135879","260689","400955","","","","","","","",""
"Charmarajanagar","24255","0","24255","243805","233398","","","","","","","",""
"Malai Mahadeshwar","13703","16","13719","116322","144951","","","","","","","",""
"Kamalapur","62404","78","62482","106020","151713","","","","","","","",""
"Sirsi","0","0","0","33588","33588","","","","","","","",""
"Humcha","0","0","0","38623","38623","","","","","","","",""
"Grand Total","6876441","121285","6997726","11337955","18335681","","","","","","","",""
"","","","","","","","","","","","","",""
"The total visitors to the State of Karnataka for the period of May 2005 � April 2006 were 18335681, out of this, 6876441 were domestic overnight visitors, 121285 were foreign visitors and 11337955 were Day tourists.","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Table: 5.2 Month wise number of visitors in Karnataka","","","","","","","","","","","","",""
"","","","","","","","","","","","","",""
"Month","Domestic_Overnight_Visitors","Foreign_Overnight_Visitors","Day Visitors","Total","","","","","","","","",""
"May-05","380835","4198","945705","1330738","","","","","","","","",""
"Jun-05","279661","4801","838448","1122910","","","","","","","","",""
"Jul-06","321719","2547","663267","987533","","","","","","","","",""
"Aug-05","401386","4308","680732","1086426","","","","","","","","",""
"Sep-05","427997","2987","721679","1152663","","","","","","","","",""
"Oct-05","658235","5382","926764","1590381","","","","","","","","",""
"Nov-05","718800","6183","1011218","1736201","","","","","","","","",""
"Dec-05","771572","10127","1113971","1895670","","","","","","","","",""
"Jan-06","673136","15012","983817","1671965","","","","","","","","",""
"Feb-06","755815","23390","1881511","2660716","","","","","","","","",""
