"tag_id","street_id","street_name","tag_type","position","tree_id","tree_name","species_name","colour","colour code","leaf shape","observation","gbh","height","lat","long","rating","comments","created_on","started_on","lastUpdatedOn"
"TR26640","624","Lal bhag road","Tree","Left","19","bauhinia","bauhinia purpurea","Reddish-purple","150, 9, 85","heart or a butterfly","Elecric Wire Threat","40","3","12.9462475","77.5886271","4","","1/4/2021 8:07","1/4/2021 8:07","1/4/2021 8:07"
"TR26834","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,255","juvenile ","","231","13","12.943754608026","77.58313465117","4","","1/12/2021 9:01","1/12/2021 9:01","1/12/2021 9:01"
"TR26835","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,256","juvenile ","","255","12","12.943755900876","77.583044055741","4","","1/12/2021 9:06","1/12/2021 9:06","1/12/2021 9:06"
"TR26836","624","Lal bhag road","Tree","Left","57","rain tree","albizia saman","Reddish-purple","150, 9, 85","umbrella","","165","10","12.943757451466","77.58293935394","4","","1/12/2021 9:10","1/12/2021 9:10","1/12/2021 9:10"
"TR26837","624","Lal bhag road","Tree","Left","3","Psidium ","Psidium guyava var, pyxiferum","White ","255, 255, 255","pear","","110","13","12.943790180176","77.582652738719","4","","1/12/2021 9:14","1/12/2021 9:14","1/12/2021 9:14"
"TR26839","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,255","juvenile ","","220","14","12.943807549757","77.582547062835","4","","1/12/2021 9:20","1/12/2021 9:20","1/12/2021 9:20"
"TR26838","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,256","juvenile ","","280","13","12.943826321351","77.582645160014","4","","1/12/2021 9:20","1/12/2021 9:20","1/12/2021 9:20"
"TR26840","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,257","juvenile ","","195","14","12.943803992724","77.582403161127","4","","1/12/2021 9:23","1/12/2021 9:23","1/12/2021 9:23"
"TR26841","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,258","juvenile ","","172","15","12.943813148062","77.582471296896","4","","1/12/2021 9:23","1/12/2021 9:23","1/12/2021 9:23"
"TR26842","624","Lal bhag road","Tree","Left","77","Campanula","Campanula, pyramidalis","Blue ","0, 0, 255","Bell","","95","15","12.94376830851","77.582340651514","4","","1/12/2021 9:26","1/12/2021 9:26","1/12/2021 9:26"
"TR26843","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,260","juvenile ","","210","134","12.943808039908","77.582317934915","4","","1/12/2021 9:29","1/12/2021 9:29","1/12/2021 9:29"
"TR26844","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,261","juvenile ","","105","9","12.943832571986","77.582252515697","4","","1/12/2021 9:31","1/12/2021 9:31","1/12/2021 9:31"
"TR26845","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,262","juvenile ","","105","8","12.943774359624","77.582173728777","4","","1/12/2021 9:35","1/12/2021 9:35","1/12/2021 9:35"
"TR26847","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,263","juvenile ","","147","13","12.94381247062","77.582272902602","4","","1/12/2021 9:38","1/12/2021 9:38","1/12/2021 9:38"
"TR26846","624","Lal bhag road","Tree","Left","77","Exacum","Exacum, tetragonum","Blue ","0, 0, 255","Corolla rotate or funnel","","285","11","12.943788744284","77.582225877649","4","","1/12/2021 9:42","1/12/2021 9:42","1/12/2021 9:42"
"TR26848","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,265","juvenile ","","215","14","12.9438248","77.5821359","4","","1/12/2021 9:43","1/12/2021 9:43","1/12/2021 9:43"
"TR26850","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,266","juvenile ","","173","12","12.943821496367","77.582280799194","4","","1/12/2021 9:46","1/12/2021 9:46","1/12/2021 9:46"
"TR26851","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,267","juvenile ","","142","16","12.943849908741","77.582274360573","4","","1/12/2021 9:47","1/12/2021 9:47","1/12/2021 9:47"
"TR26852","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,268","juvenile ","","168","10","12.943876213095","77.582191027579","4","","1/12/2021 9:47","1/12/2021 9:47","1/12/2021 9:47"
"TR26853","624","Lal bhag road","Tree","Left","77","Erycibe","Erycibe paniculata","Yellow","255, 255, 0","funnel","","235","14","12.943748870331","77.582013669314","4","","1/12/2021 9:48","1/12/2021 9:48","1/12/2021 9:48"
"TR26854","624","Lal bhag road","Tree","Left","3","coconut","cocos necifera","red-orange","255,69,0","lanceolate","","135","10","12.943861608989","77.58207918809","4","","1/12/2021 9:49","1/12/2021 9:49","1/12/2021 9:49"
"TR26849","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,269","juvenile ","","185","15","12.943784471328","77.581881709088","4","","1/12/2021 9:51","1/12/2021 9:51","1/12/2021 9:51"
"TR26855","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,270","juvenile ","","95","15","12.943831778087","77.582190832422","4","","1/12/2021 9:51","1/12/2021 9:51","1/12/2021 9:51"
"TR26856","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,271","juvenile ","","175","15","12.943839805366","77.581798305976","4","","1/12/2021 9:53","1/12/2021 9:53","1/12/2021 9:53"
"TR26857","624","Lal bhag road","Tree","Left","77","Gelonium","Gelonium, lanceolatum","creamy white","253, 232, 182","conical form","","246","15","12.94379668342","77.581579862907","4","","1/12/2021 9:57","1/12/2021 9:57","1/12/2021 9:57"
"TR26858","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,273","juvenile ","","156","12","12.943841540412","77.581465442736","4","","1/12/2021 9:59","1/12/2021 9:59","1/12/2021 9:59"
"TR26859","624","Lal bhag road","Tree","Left","3","coconut","cocos necifera","red-orange","255,69,0","lanceolate","","85","12","12.943805162114","77.581960369752","4","","1/12/2021 10:01","1/12/2021 10:01","1/12/2021 10:01"
"TR26860","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,273","juvenile ","","235","13","12.943810045886","77.581356301103","4","","1/12/2021 10:01","1/12/2021 10:01","1/12/2021 10:01"
"TR26863","624","Lal bhag road","Tree","Left","3","coconut","cocos necifera","red-orange","255,69,0","lanceolate","","70","10","12.943854202417","77.581521887051","4","","1/12/2021 10:07","1/12/2021 10:07","1/12/2021 10:07"
"TR26864","624","Lal bhag road","Tree","Left","77","Ficus","Ficus, heterophylla","Green","0,128,0","solitary and pear","","210","12","12.943821303858","77.581298064515","4","","1/12/2021 10:08","1/12/2021 10:08","1/12/2021 10:08"
"TR26862","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,274","juvenile ","","250","15","12.943804492268","77.581406524453","4","","1/12/2021 10:09","1/12/2021 10:09","1/12/2021 10:09"
"TR26861","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,275","juvenile ","","106","12","12.943813410751","77.581448403195","4","","1/12/2021 10:09","1/12/2021 10:09","1/12/2021 10:09"
"TR26865","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,276","juvenile ","","240","15","12.943844796288","77.581212557424","4","","1/12/2021 10:11","1/12/2021 10:11","1/12/2021 10:11"
"TR26866","624","Lal bhag road","Tree","Left","77","eucalyptus","eucalyptus globus","blue","0,0,277","juvenile ","","170","14","12.943738882909","77.581281753655","4","","1/12/2021 10:12","1/12/2021 10:12","1/12/2021 10:12"
"TR26867","624","Lal bhag road","Tree","Left","77","Psidium ","Psidium guyava var, pomiferum","Red","255, 0, 0","apple","","140","12","12.943890465926","77.58119530246","4","","1/12/2021 10:13","1/12/2021 10:13","1/12/2021 10:13"
